episode,reward,avg_reward_10,loss,epsilon,steps
1,-212.62140843837042,-212.62140843837042,0.5460063529110724,0.995,125
2,-92.28091370139009,-152.45116106988024,1.074904936732668,0.990025,66
3,-104.02909968029375,-136.31047394001808,1.3192446388800938,0.985074875,75
4,-167.98603912157245,-144.22936523540668,1.1914073268438246,0.9801495006250001,111
5,-188.62889682971007,-153.10927155426734,1.148792201401414,0.9752487531218751,111
6,-7.659997827854468,-128.86772593319853,1.2451352673307272,0.9703725093562657,71
7,-287.099838889265,-151.47231349835087,1.4823953798887404,0.9655206468094844,88
8,-111.52084123083144,-146.47837946491094,1.1060858651481826,0.960693043575437,87
9,-118.84957388674894,-143.4085121784485,1.1210337667302652,0.9558895783575597,110
10,-171.64702512379097,-146.23236347298274,1.078126829468979,0.9511101304657719,106
11,-94.5593415549609,-134.42615678464182,1.4840724646271048,0.946354579813443,77
12,-102.72142562149699,-135.47020797665252,1.081467391323235,0.9416228069143757,118
13,-176.4632728904453,-142.71362529766765,1.0563062083368238,0.9369146928798039,76
14,-133.51671588291276,-139.26669297380167,1.0801828036057777,0.9322301194154049,69
15,9.757959175707384,-119.42800737325994,1.3153782636940885,0.9275689688183278,147
16,-84.00284244463721,-127.06229183493822,1.429945586943159,0.9229311239742362,102
17,-216.47565241838095,-119.99987318784979,1.442000020908404,0.918316468354365,79
18,-155.98906458361705,-124.4466955231284,1.2855015879666263,0.9137248860125932,88
19,-236.52397393206738,-136.2141355276602,1.279543796327056,0.9091562615825302,82
20,-207.0284766185861,-139.7522806771397,1.4651923636937965,0.9046104802746175,116
21,-168.05060091007465,-147.10140661265115,1.564250436576107,0.9000874278732445,79
22,-304.6400753830099,-167.2932715888024,1.347315441383872,0.8955869907338783,129
23,-129.33588726667153,-162.580533026425,1.1673567870034363,0.8911090557802088,106
24,-133.53243625390252,-162.58210506352398,1.0978001878620722,0.8866535105013078,78
25,-81.59983097498431,-171.71788407859316,1.1074935671413082,0.8822202429488013,87
26,-97.26047304759547,-173.04364713888899,1.4288905349713337,0.8778091417340573,79
27,-27.50723799363523,-154.14680569641442,1.3101459643803537,0.8734200960253871,96
28,-105.23990643558264,-149.07188988161099,1.3869592122512289,0.8690529955452602,101
29,-38.63331899938796,-129.28282438834304,1.2323610798308724,0.8647077305675338,114
30,-96.60052901689217,-118.24002962817364,1.3637896889868455,0.8603841919146962,78
31,-192.6248781450489,-120.69745735167108,1.5600011734912793,0.8560822709551227,120
32,-70.20002739420363,-97.25345255279043,1.4036140644663497,0.851801859600347,79
33,-141.75276926952503,-98.49514075307579,1.5420110324579002,0.8475428503023453,113
34,-81.18512483309414,-93.26040961099496,1.3256446523701444,0.8433051360508336,85
35,-179.0097608452786,-103.00140259802438,1.4382314300016752,0.8390886103705794,126
36,-149.3826614427581,-108.21362143754065,1.2926662450497464,0.8348931673187264,129
37,-67.49972295012688,-112.21286993318981,1.2670337307837702,0.8307187014821328,93
38,-119.42557606811344,-113.63143689644289,1.1800008791216303,0.8265651079747222,89
39,-121.01223494065698,-121.8693284905698,1.2973398755821917,0.8224322824348486,90
40,-74.20531501352201,-119.62980709023277,1.3821503355228988,0.8183201210226743,137
41,-172.81652736104567,-117.64897201183244,1.6088816042989493,0.8142285204175609,160
42,-98.18954117045854,-120.44792338945794,1.579156038400374,0.810157377815473,76
43,-378.98877786021734,-144.1715242485272,1.5154488832667106,0.8061065909263957,164
44,-89.33701578780848,-144.98671334399862,1.3832608960727428,0.8020760579717637,94
45,-86.68590125527349,-135.7543273849981,1.3604754105092973,0.798065677681905,127
46,-235.2366248297336,-144.3397237236956,1.6135615989052017,0.7940753492934954,116
47,-56.69453082791727,-143.25920451147468,1.3173262290656567,0.7901049725470279,108
48,-241.98053673792748,-155.5147005784561,1.5081742337008692,0.7861544476842928,106
49,-79.21925091994247,-151.33540217638463,1.3192081782117224,0.7822236754458713,114
50,-17.977126253501666,-145.7125833003826,1.4256008943208518,0.778312557068642,156
51,-112.83854007113523,-139.71478457139153,1.508599475395581,0.7744209942832988,121
52,-138.72787026427866,-143.76861748077354,1.3353305662622545,0.7705488893118823,101
53,26.327695862861844,-103.23697010846566,1.404345782548189,0.7666961448653229,100
54,-140.69345138225532,-108.37261366791033,1.295712563312716,0.7628626641409962,72
55,-100.80296282017765,-109.78431982440074,1.4596461732136576,0.7590483508202912,95
56,-280.53438702020486,-114.31409604344788,1.430760923899761,0.7552531090661897,147
57,-30.61487082708406,-111.70613004336455,1.379211031133309,0.7514768435208588,128
58,-90.36129507015974,-96.54420587658777,1.3362080766945272,0.7477194593032545,74
59,-74.26581127625755,-96.04886191221928,1.238597558128952,0.7439808620067382,101
60,-93.17279332544702,-103.56842861941382,1.3438793473729962,0.7402609576967045,76
61,-90.03566367471244,-101.28814097977154,1.596184807259645,0.736559652908221,134
62,-78.01678521181384,-95.21703247452506,1.2904419717756477,0.7328768546436799,111
63,-255.9789508474003,-123.44769714555127,1.367470937874168,0.7292124703704616,160
64,-86.0236096227661,-117.98071296960237,1.4867607782284418,0.7255664080186093,135
65,-141.58131162225186,-122.05854784980977,1.2566908698629689,0.7219385759785162,111
66,-164.68866435834312,-110.47397558362361,1.2732529546914062,0.7183288830986236,123
67,-123.83189914874121,-119.79567841578933,1.2107277645784267,0.7147372386831305,85
68,-115.23270871094519,-122.28281977986788,1.3969485837302795,0.7111635524897149,73
69,-70.50839887856296,-121.90707854009841,1.1884178758963295,0.7076077347272662,115
70,-57.65739317646631,-118.35553852520033,1.2753919055554228,0.7040696960536299,142
71,-92.53923705605474,-118.60589586333455,1.4055987993488088,0.7005493475733617,128
72,-24.173289719083527,-113.22154631406151,1.2248366794083267,0.697046600835495,192
73,-69.08040359567305,-94.53169158888879,1.5394868837161497,0.6935613678313175,77
74,-90.02777798411034,-94.93210842502322,1.6096885328764443,0.6900935609921609,91
75,-82.27976823008069,-89.0019540858061,1.2344738055664795,0.6866430931872001,133
76,-92.96742646264973,-81.82983029623678,1.2136344543347757,0.6832098777212641,108
77,-75.35116839209917,-76.98175722057256,1.162410101791223,0.6797938283326578,120
78,-78.67161163920736,-73.3256475133988,1.2726072427931796,0.6763948591909945,89
79,-83.70308684077185,-74.64511630961968,1.561148541894826,0.6730128848950395,77
80,-69.68896690548831,-75.84827368252188,1.1983982230457224,0.6696478204705644,129
81,-29.408379806016654,-69.53518795751806,1.4609571632284384,0.6662995813682115,104
82,-41.31716794105341,-71.24957577971506,1.2263274819900591,0.6629680834613705,96
83,-12.884522771411511,-65.62998769728891,1.1721570102979015,0.6596532430440636,151
84,-90.14011553911787,-65.64122145278967,1.213225395487459,0.6563549768288433,149
85,-103.32819960647524,-67.74606459042911,1.3677657944046788,0.653073201944699,72
86,-63.62380147405643,-64.81170209156979,1.2525622773655625,0.6498078359349755,172
87,-66.37364037589717,-63.913949289949585,1.3444248123748883,0.6465587967553006,111
88,-62.91202135403543,-62.33799026143239,1.1204578530712006,0.6433260027715241,156
89,-89.91634660061413,-62.959316237416616,1.184170765044925,0.6401093727576664,91
90,-49.457252895308656,-60.93614483639866,1.275862048983574,0.6369088258938781,125
91,-56.928070788290995,-63.68811393462609,1.17262505566833,0.6337242817644086,198
92,-62.956689615697755,-65.85206610209052,1.2026480676916738,0.6305556603555866,96
93,-101.97041316192889,-74.76065514114228,1.1780462301546528,0.6274028820538087,155
94,21.353133753216753,-63.611330211908786,1.1307659286355216,0.6242658676435396,126
95,-45.89080261218357,-57.86759051247964,1.2160761538479063,0.6211445383053219,81
96,-54.757278221501366,-56.980938187224126,1.0846213053364855,0.6180388156137953,143
97,-97.40644969632383,-60.08421911926679,1.170712119504197,0.6149486215357263,146
98,-99.01908916031898,-63.69492589989515,1.4083620892503323,0.6118738784280476,78
99,72.63761496255691,-47.43952974357804,1.3907308891117574,0.6088145090359074,1000
100,-62.73314035516185,-48.76711848956336,1.7227910109561124,0.6057704364907278,139
