episode,reward,avg_reward_10,loss,epsilon,steps,method,per_beta
1,-206.09023294087837,-206.09023294087837,0.4036814129778317,0.995,98,proposed,0.40021
2,-116.88139541151774,-161.48581417619806,2.760260067518475,0.990025,103,proposed,0.400828
3,-122.59765927499727,-148.5230958757978,2.156026154756546,0.985074875,66,proposed,0.401224
4,-179.08483056261753,-156.16352954750272,0.8431751441280797,0.9801495006250001,106,proposed,0.40186
5,-312.94143620651437,-187.51911087930506,1.160420589686669,0.9752487531218751,97,proposed,0.402442
6,-210.05895337412318,-191.27575129510808,1.709319217581498,0.9703725093562657,95,proposed,0.40301200000000004
7,-144.6767979495674,-184.61875796003082,1.7392055292924244,0.9655206468094844,138,proposed,0.40384000000000003
8,-184.62967451966585,-184.62012252998522,1.144855365927877,0.960693043575437,116,proposed,0.404536
9,-361.9301094865581,-204.32123219182665,1.0076205840941226,0.9558895783575597,89,proposed,0.40507000000000004
10,-79.50811365537773,-191.83992033818177,0.9674298305120042,0.9511101304657719,67,proposed,0.405472
11,-197.50512421882496,-190.98140946597638,1.5674955057441642,0.946354579813443,109,proposed,0.40612600000000004
12,-91.72356623721794,-188.46562654854642,1.74980532626311,0.9416228069143757,78,proposed,0.406594
13,-84.66306372472486,-184.6721669935192,1.8977281326129112,0.9369146928798039,81,proposed,0.40708
14,-119.24477942777213,-178.68816188003464,1.7432075726088656,0.9322301194154049,93,proposed,0.407638
15,-228.42040774778843,-170.23605903416205,1.7241165552820479,0.9275689688183278,84,proposed,0.408142
16,-31.286395880071865,-152.35880328475693,1.616402200973817,0.9229311239742362,137,proposed,0.408964
17,-249.26555919047715,-162.81767940884794,1.5720241881730987,0.918316468354365,127,proposed,0.40972600000000003
18,-188.61552673682388,-163.21626463056373,1.7167229832604873,0.9137248860125932,86,proposed,0.410242
19,-165.666949288383,-143.5899486107462,1.8886346723659928,0.9091562615825302,83,proposed,0.41074
20,-64.13580558223026,-142.05271780343142,1.7085011580752,0.9046104802746175,144,proposed,0.411604
21,-122.03696189605061,-134.505901571154,2.072461462356675,0.9000874278732445,71,proposed,0.41203
22,-135.98998731200106,-138.93254367863233,1.823693147365083,0.8955869907338783,94,proposed,0.412594
23,-89.52333685458346,-139.4185709916182,1.8406542205229037,0.8911090557802088,82,proposed,0.413086
24,-91.16956838677064,-136.61104988751802,1.6935762462385915,0.8866535105013078,114,proposed,0.41377
25,-151.60498171540704,-128.92950728427988,1.5558392682245799,0.8822202429488013,140,proposed,0.41461000000000003
26,-54.31388010055416,-131.23225570632812,1.7391895773047108,0.8778091417340573,118,proposed,0.415318
27,-134.77425953761264,-119.78312574104166,1.4595172525545872,0.8734200960253871,109,proposed,0.415972
28,-116.47584894298416,-112.5691579616577,1.4283000536262989,0.8690529955452602,80,proposed,0.41645200000000004
29,-100.26533893149424,-106.02899692596881,1.4020937056426543,0.8647077305675338,83,proposed,0.41695000000000004
30,-134.43669198091033,-113.05908556583684,1.3576904255896807,0.8603841919146962,64,proposed,0.41733400000000004
31,-237.7664985930581,-124.63203923553756,1.8209650216588549,0.8560822709551227,157,proposed,0.41827600000000004
32,-117.99895613352112,-122.83293611768958,1.6898645576784166,0.851801859600347,59,proposed,0.41863
33,-244.25964293948533,-138.30656672617974,1.7762614034471058,0.8475428503023453,105,proposed,0.41926
34,-57.78674071649567,-134.96828395915225,1.6562480559715858,0.8433051360508336,91,proposed,0.419806
35,-201.70112495383927,-139.9778982829955,1.6172142699986947,0.8390886103705794,119,proposed,0.42052
36,-95.84321005043623,-144.1308312779837,1.4645523160969445,0.8348931673187264,109,proposed,0.42117400000000005
37,-50.25300796046494,-135.67870612026894,1.6356218267570843,0.8307187014821328,99,proposed,0.42176800000000003
38,14.71569925553655,-122.55955130041687,1.5987713001668453,0.8265651079747222,80,proposed,0.422248
39,-257.2149810204413,-138.25451550931157,2.0395239202872566,0.8224322824348486,115,proposed,0.42293800000000004
40,-282.3077379599199,-153.0416201072125,1.861377441825775,0.8183201210226743,104,proposed,0.423562
41,-131.6815658445946,-142.4331268323662,1.827848846497743,0.8142285204175609,92,proposed,0.424114
42,-100.28374081855883,-140.66160530086992,1.5542248775561651,0.810157377815473,120,proposed,0.42483400000000004
43,-104.69072481663972,-126.70471348858538,1.476536081305572,0.8061065909263957,112,proposed,0.425506
44,-258.3292287198092,-146.75896228891673,1.5739890866190474,0.8020760579717637,107,proposed,0.426148
45,-67.28753870853787,-133.31760366438658,1.4585823848843575,0.798065677681905,100,proposed,0.426748
46,-43.73279498242168,-128.10656215758513,1.5251049791296867,0.7940753492934954,73,proposed,0.427186
47,-88.4233094504746,-131.9235923065861,1.5566460214635378,0.7901049725470279,93,proposed,0.427744
48,-112.1753731146826,-144.61269954360802,1.5242971485794181,0.7861544476842928,101,proposed,0.42835
49,-107.95367921320327,-129.68656936288423,1.4644574283183307,0.7822236754458713,87,proposed,0.42887200000000003
50,-63.93512762336015,-107.84930832922824,1.4637308781727767,0.778312557068642,78,proposed,0.42934
51,-80.1999730939909,-102.70114905416786,1.4545188872710517,0.7744209942832988,115,proposed,0.43003
52,-77.92876712697706,-100.4656516850097,1.3629230150621232,0.7705488893118823,146,proposed,0.430906
53,-48.867140214542296,-94.88329322479996,1.1968818608221117,0.7666961448653229,91,proposed,0.431452
54,-30.619893908020856,-72.11235974362111,1.0565712076319744,0.7628626641409962,169,proposed,0.432466
55,-120.95748498180426,-77.47935437094776,1.0805198660516364,0.7590483508202912,127,proposed,0.433228
56,-133.43921327432275,-86.44999620013786,1.1044368059425564,0.7552531090661897,91,proposed,0.433774
57,-113.1973208024418,-88.92739733533459,1.0615485878551707,0.7514768435208588,85,proposed,0.434284
58,-112.47243313804945,-88.95710333767128,1.0416482101086857,0.7477194593032545,147,proposed,0.43516600000000005
59,-67.46082187802392,-84.90781760415335,1.081706021658399,0.7439808620067382,88,proposed,0.435694
60,-67.64505098624063,-85.2788099404414,1.0796805451122613,0.7402609576967045,104,proposed,0.43631800000000004
61,-13.260042287575104,-78.58481685979982,1.095269148809868,0.736559652908221,171,proposed,0.437344
62,-93.03861302418,-80.09580144952011,0.9690190890142995,0.7328768546436799,93,proposed,0.437902
63,-66.57977710272766,-81.86706513833863,1.0856112431759801,0.7292124703704616,149,proposed,0.438796
64,-78.1946031157858,-86.62453605911514,1.005536919613497,0.7255664080186093,109,proposed,0.43945
65,-102.88293326574991,-84.8170808875097,0.9053226679160788,0.7219385759785162,74,proposed,0.439894
66,-130.43471383751705,-84.51663094382913,0.9120220041541911,0.7183288830986236,134,proposed,0.44069800000000003
67,-96.8810548351887,-82.88500434710383,1.0925475076834361,0.7147372386831305,75,proposed,0.44114800000000004
68,-86.29455264569006,-80.26721629786788,0.967900293696787,0.7111635524897149,97,proposed,0.44173
69,-11.014117313039094,-74.6225458413694,0.9344557670296215,0.7076077347272662,122,proposed,0.442462
70,-115.29745431012647,-79.38778617375797,0.9956301448020068,0.7040696960536299,110,proposed,0.443122
71,-89.09863965168444,-86.97164591016892,0.9751776784858448,0.7005493475733617,149,proposed,0.444016
72,-99.603296761556,-87.62811428390651,0.9295837734196637,0.697046600835495,148,proposed,0.444904
73,-44.63948668678243,-85.43408524231201,0.8928270894515363,0.6935613678313175,79,proposed,0.44537800000000005
74,-64.03420205996213,-84.01804513672963,0.9359824348170802,0.6900935609921609,106,proposed,0.446014
75,-178.77664625879146,-91.60741643603379,0.8463241709481686,0.6866430931872001,109,proposed,0.446668
76,-115.08144238012584,-90.07208929029467,0.9751621223283264,0.6832098777212641,106,proposed,0.44730400000000003
77,-78.04626555485692,-88.18861036226149,0.937038983880859,0.6797938283326578,97,proposed,0.447886
78,-32.97748416969682,-82.85690351466215,0.8290846643703325,0.6763948591909945,70,proposed,0.44830600000000004
79,-97.7086337687261,-91.52635516023085,0.8543119945930778,0.6730128848950395,109,proposed,0.44896
80,-82.49880600092294,-88.24649032931052,0.9726384767094014,0.6696478204705644,161,proposed,0.44992600000000005
81,-73.83466760582155,-86.72009312472423,1.0250057791076277,0.6662995813682115,184,proposed,0.45103000000000004
82,-26.084892082362146,-79.36825265680484,0.9317385197275936,0.6629680834613705,101,proposed,0.45163600000000004
83,-152.28662846945338,-90.13296683507193,0.9526481834030891,0.6596532430440636,129,proposed,0.45241000000000003
84,-77.36340324345232,-91.46588695342095,0.9951918463815342,0.6563549768288433,66,proposed,0.45280600000000004
85,-81.20792617931656,-81.70901494547347,0.9321045044809579,0.653073201944699,80,proposed,0.453286
86,-127.69640601249927,-82.9705113087108,0.9481920416538532,0.6498078359349755,91,proposed,0.453832
87,-112.997607795758,-86.46564553280089,0.9344158099095027,0.6465587967553006,150,proposed,0.454732
88,-33.53072466059419,-86.52096958189064,0.8559436655125102,0.6433260027715241,148,proposed,0.45562
