episode,reward,avg_reward_10,loss,epsilon,steps,method,per_beta
1,-206.09023294087837,-206.09023294087837,0.3613741295678275,0.995,98,proposed,0.40021
2,-116.88139541151774,-161.48581417619806,1.9523097100188431,0.990025,103,proposed,0.400828
3,-122.59765927499727,-148.5230958757978,1.942220972794475,0.985074875,66,proposed,0.401224
4,-179.08483056261753,-156.16352954750272,1.4435793129059504,0.9801495006250001,106,proposed,0.40186
5,-312.94143620651437,-187.51911087930506,0.881388251160838,0.9752487531218751,97,proposed,0.402442
6,-185.57004797882655,-187.19426706255862,1.2054195888716766,0.9703725093562657,99,proposed,0.403036
7,-100.2709420185426,-174.77664919912777,1.2974117882549763,0.9655206468094844,140,proposed,0.403876
8,-38.443669288767424,-157.73502671033273,1.0708651898862565,0.960693043575437,146,proposed,0.404752
9,-130.70313042018077,-154.7314826780936,1.3687938667005963,0.9558895783575597,72,proposed,0.40518400000000004
10,-127.78832356572295,-152.03716676685656,1.4131564554960832,0.9511101304657719,115,proposed,0.405874
11,-375.16926247953535,-168.94506972072227,2.021706483111932,0.946354579813443,104,proposed,0.406498
12,-79.71302595916532,-165.22823277548702,1.755889772574107,0.9416228069143757,75,proposed,0.40694800000000003
13,-53.135345338016414,-158.28200138178892,1.895917118369759,0.9369146928798039,77,proposed,0.40741000000000005
14,-425.86044385170555,-182.95956271069772,2.256875491086042,0.9322301194154049,106,proposed,0.408046
15,-81.59134801876442,-159.82455389192276,2.375517893433571,0.9275689688183278,100,proposed,0.408646
16,-136.69157760847088,-154.93670685488718,2.176729859396963,0.9229311239742362,101,proposed,0.409252
17,-209.12042418964467,-165.82165507199736,2.0916669614174785,0.918316468354365,102,proposed,0.409864
18,-165.95296038529074,-178.5725841816497,2.039632313816171,0.9137248860125932,95,proposed,0.410434
19,-225.2880971938753,-188.03108085901914,1.8869224088823693,0.9091562615825302,117,proposed,0.411136
20,-136.7918355547627,-188.93143205792313,1.8161599756288929,0.9046104802746175,119,proposed,0.41185000000000005
21,-237.08854031476767,-175.12335984144636,2.1143674038268707,0.9000874278732445,91,proposed,0.41239600000000004
22,-96.39870577316508,-176.79192782284633,1.951009936366521,0.8955869907338783,141,proposed,0.413242
23,-104.23042280088437,-181.90143556913313,1.8527319862654335,0.8911090557802088,76,proposed,0.413698
24,-74.73860835321697,-146.78925201928428,1.7743643913176153,0.8866535105013078,77,proposed,0.41416000000000003
25,-162.25973432106647,-154.85609064951447,1.8617803187205875,0.8822202429488013,87,proposed,0.414682
26,-68.3558695853428,-148.02251984720166,1.8032493675787618,0.8778091417340573,127,proposed,0.41544400000000004
27,-53.39210074741698,-132.44968750297892,1.8746631755886307,0.8734200960253871,83,proposed,0.41594200000000003
28,-110.24648566356862,-126.8790400308067,1.7933029996024237,0.8690529955452602,81,proposed,0.416428
29,-188.6864179774545,-123.21887210916464,1.5735491386481695,0.8647077305675338,119,proposed,0.417142
30,-106.68894765236706,-120.20858331892505,1.610812764102166,0.8603841919146962,109,proposed,0.417796
31,-278.94402448048413,-124.3941317354967,1.579288575871318,0.8560822709551227,102,proposed,0.418408
32,-331.61059890367824,-147.91532104854804,1.6336283038059871,0.851801859600347,102,proposed,0.41902
33,-117.42624206281906,-149.2349029747415,1.41567532138692,0.8475428503023453,72,proposed,0.41945200000000005
34,-33.28076846612157,-145.08911898603193,1.4553566224627443,0.8433051360508336,91,proposed,0.41999800000000004
35,-64.59601083766674,-135.32274663769198,1.481859513941933,0.8390886103705794,68,proposed,0.420406
36,-352.7203939639653,-163.75919907555422,1.3541367757888068,0.8348931673187264,105,proposed,0.421036
37,-63.036742104228125,-164.7236632112353,1.4844565503536515,0.8307187014821328,157,proposed,0.421978
38,-292.78546447207896,-182.97756109208635,1.3405367805976276,0.8265651079747222,129,proposed,0.422752
39,-59.943790452836645,-170.1032983396246,1.2728713519043393,0.8224322824348486,90,proposed,0.423292
40,-100.79156341444963,-169.51355991583284,1.2899376568013587,0.8183201210226743,113,proposed,0.42397
41,-100.62874318447547,-151.682031786232,1.6606434704484165,0.8142285204175609,74,proposed,0.424414
42,-81.44920951821017,-126.66589284768517,1.685801574477443,0.810157377815473,81,proposed,0.4249
43,-107.64923646763901,-125.68819228816717,1.6333079198631673,0.8061065909263957,109,proposed,0.42555400000000004
44,-173.45598640967484,-139.7057140825225,1.642998021305277,0.8020760579717637,89,proposed,0.426088
45,-64.77723151521292,-139.7238361502771,1.6197604291579302,0.798065677681905,68,proposed,0.42649600000000004
46,-174.04704242499454,-121.85650099638,1.5417058193426338,0.7940753492934954,139,proposed,0.42733000000000004
47,-62.03892461805378,-121.75671924776256,1.6450108627576638,0.7901049725470279,101,proposed,0.42793600000000004
48,-126.01067999706582,-105.07924080026127,1.5226303603914049,0.7861544476842928,117,proposed,0.428638
49,-135.10419061089237,-112.59528081606686,1.69955779665924,0.7822236754458713,83,proposed,0.429136
50,-96.53568536097336,-112.16969301071921,1.6267905743122102,0.778312557068642,125,proposed,0.42988600000000005
51,-120.5116477899474,-114.15798347126642,1.6590016541736468,0.7744209942832988,140,proposed,0.430726
52,-31.822420699655893,-109.195304589411,1.377956392220509,0.7705488893118823,81,proposed,0.43121200000000004
53,-64.33560582805283,-104.86394152545238,1.3561855660656752,0.7666961448653229,118,proposed,0.43192
54,-73.80357683189112,-94.89870056767401,1.4338306488580261,0.7628626641409962,151,proposed,0.43282600000000004
55,-84.45508147585254,-96.86648556373797,1.3407353920241196,0.7590483508202912,96,proposed,0.433402
56,-104.94352174914694,-89.95613349615321,1.3094652418432564,0.7552531090661897,116,proposed,0.43409800000000004
57,-64.61641105331925,-90.21388213967977,1.331657715912523,0.7514768435208588,58,proposed,0.434446
58,-119.35132278783236,-89.54794641875641,1.3157087783386678,0.7477194593032545,81,proposed,0.43493200000000004
59,-141.75535247756326,-90.2130626054235,1.330001320814093,0.7439808620067382,120,proposed,0.43565200000000004
60,-143.1020218547772,-94.86969625480387,1.3458672451476257,0.7402609576967045,120,proposed,0.43637200000000004
61,-225.00525749469483,-105.31905722527863,1.7242468165854612,0.736559652908221,120,proposed,0.43709200000000004
62,-66.47973713289018,-108.78478886860208,1.6018658958483434,0.7328768546436799,138,proposed,0.43792000000000003
63,-68.64598436748008,-109.21582672254479,1.5526867321946405,0.7292124703704616,110,proposed,0.43858
64,-33.5225443541856,-105.18772347477423,1.4701933775629317,0.7255664080186093,119,proposed,0.439294
65,-73.31447892835536,-104.07366322002451,1.420949062234477,0.7219385759785162,76,proposed,0.43975000000000003
66,-87.90753781904473,-102.37006482701428,1.4998155562207103,0.7183288830986236,96,proposed,0.440326
67,-87.80785143283997,-104.68920886496635,1.4862526794959758,0.7147372386831305,145,proposed,0.44119600000000003
68,-67.02111248811319,-99.45618783499444,1.4103064487377803,0.7111635524897149,78,proposed,0.441664
69,-62.28001973909846,-91.50865456114795,1.461908820271492,0.7076077347272662,70,proposed,0.44208400000000003
70,-23.014072637433003,-79.49985963941353,1.4268352068546746,0.7040696960536299,72,proposed,0.442516
71,-115.66859725516949,-68.56619361546102,1.64373990551879,0.7005493475733617,96,proposed,0.44309200000000004
72,-112.50644164447966,-73.16886406661995,1.4654758912841166,0.697046600835495,127,proposed,0.443854
73,2.541378027050385,-66.0501278271669,1.5127652085253172,0.6935613678313175,168,proposed,0.44486200000000004
74,-36.52674749213651,-66.35054814096199,1.5058484097103497,0.6900935609921609,182,proposed,0.445954
75,-66.11297280396727,-65.63039752852319,1.3369302454997192,0.6866430931872001,88,proposed,0.44648200000000005
76,-97.8665854736277,-66.62630229398148,1.3900081833203635,0.6832098777212641,90,proposed,0.44702200000000003
77,-10.5182686746886,-58.897344018166336,1.297210584340557,0.6797938283326578,155,proposed,0.447952
78,-89.16951024761082,-61.11218379411612,1.3590416996074575,0.6763948591909945,112,proposed,0.448624
79,-55.415817810914845,-60.42576360129775,1.2613839222266612,0.6730128848950395,113,proposed,0.44930200000000003
80,-21.29361550784529,-60.25371788833898,1.3268914255830977,0.6696478204705644,90,proposed,0.449842
81,-40.61212269700832,-52.748070432522866,1.4188195428949721,0.6662995813682115,141,proposed,0.45068800000000003
82,-85.49985921644004,-50.047412189718905,1.2772618439219414,0.6629680834613705,109,proposed,0.451342
83,-163.59262325217307,-66.66081231764124,1.296661448672535,0.6596532430440636,123,proposed,0.45208000000000004
84,-73.20550750065276,-70.32868831849287,1.260226957499981,0.6563549768288433,108,proposed,0.452728
85,-37.92407492180979,-67.50979853027711,1.1714412597092716,0.653073201944699,66,proposed,0.453124
86,-343.11162695856706,-92.03430267877107,1.231574697549953,0.6498078359349755,129,proposed,0.453898
87,-195.67369587548112,-110.54984539885031,1.1822720581679036,0.6465587967553006,139,proposed,0.454732
88,-29.829746781199347,-104.61586905220918,1.1371683539843471,0.6433260027715241,269,proposed,0.45634600000000003
89,-55.02545977612104,-104.57683324872978,1.1924598939050504,0.6401093727576664,123,proposed,0.45708400000000005
90,-127.54313509010855,-115.2017852069561,1.1738576222459476,0.6369088258938781,150,proposed,0.457984
91,-107.98601625814047,-121.93917456306932,1.1537484136057197,0.6337242817644086,161,proposed,0.45895
92,-63.46369468290165,-119.7355581097155,1.0752972479049976,0.6305556603555866,117,proposed,0.459652
93,-69.44228163849252,-110.32052394834741,1.1661820528202487,0.6274028820538087,133,proposed,0.46045
94,-44.74745481297124,-107.47471867957927,1.164798905831257,0.6242658676435396,131,proposed,0.46123600000000003
95,-21.291711520167,-105.811482339415,1.007928470134735,0.6211445383053219,125,proposed,0.461986
96,-18.376909622784808,-73.33801060583679,1.0529327999268259,0.6180388156137953,126,proposed,0.462742
97,14.366320693522283,-52.334008948936436,1.0927890921011567,0.6149486215357263,160,proposed,0.463702
98,-61.083965523836945,-55.45943082320018,1.1044363694531576,0.6118738784280476,70,proposed,0.46412200000000003
99,-58.944670439886494,-55.85135188957673,1.0173383627691839,0.6088145090359074,117,proposed,0.464824
100,-268.75780028506216,-69.9728184090721,1.1002852903918985,0.6057704364907278,163,proposed,0.46580200000000005
101,-77.08864210700746,-66.88308099395879,1.1073305559655031,0.6027415843082742,120,proposed,0.466522
102,-6.32539178538687,-61.16925070420731,1.0618109248933338,0.5997278763867329,105,proposed,0.467152
103,-88.55966499995844,-63.08098904035391,1.0695729533445488,0.5967292370047992,103,proposed,0.46777
104,-87.8395012940915,-67.39019368846594,1.0181760891624119,0.5937455908197752,161,proposed,0.46873600000000004
105,-101.55413585505599,-75.41643612195483,1.0490991504192353,0.5907768628656763,125,proposed,0.469486
106,-79.64614484020905,-81.54335964369724,0.9828503118127796,0.5878229785513479,141,proposed,0.47033200000000003
107,-50.35267769673504,-88.015259482723,0.9877258492809422,0.5848838636585911,106,proposed,0.470968
108,-78.63851297875367,-89.77071422821466,0.9634820416049902,0.5819594443402982,172,proposed,0.47200000000000003
109,-91.4756215224544,-93.02380933647144,0.973843522305074,0.5790496471185967,115,proposed,0.47269
110,-191.5050279044379,-85.29853209840903,0.979725178112002,0.5761543988830038,136,proposed,0.473506
111,-57.84207795166551,-83.37387568287484,1.19794115504703,0.5732736268885887,111,proposed,0.47417200000000004
112,-50.96136410281095,-87.83747291461727,1.060528623206275,0.5704072587541458,245,proposed,0.475642
113,-88.99336514858146,-87.88084292947954,1.0779074192978442,0.567555222460375,64,proposed,0.476026
114,-70.65576810452195,-86.16246961052259,1.0188152097213041,0.5647174463480732,157,proposed,0.476968
115,-65.16273281492701,-82.5233293065097,1.0201034974195287,0.5618938591163328,167,proposed,0.47797
116,47.010916353964795,-69.8576231870923,1.0139061536937952,0.5590843898207511,1000,proposed,0.48397
117,-11.365533182887589,-65.95890873570755,1.134494739104502,0.5562889678716474,161,proposed,0.48493600000000003
118,-60.86992409353838,-64.18204984718604,1.0641548233451668,0.5535075230322891,216,proposed,0.486232
119,-35.08389643056512,-58.542877337997105,1.089828648761417,0.5507399854171277,178,proposed,0.4873
120,-167.26184321458052,-56.11855886901137,1.1922974501754724,0.547986285490042,306,proposed,0.489136
121,-19.536460080893477,-52.28799708193416,1.4657559904735535,0.5452463540625918,128,proposed,0.489904
